Join Date,Name,Completed
"Sep 25, 2024, 7:38:37 PM",October 10K Challenge,true
"Sep 25, 2024, 7:38:39 PM",October Half Marathon Challenge,true
"Sep 25, 2024, 7:38:38 PM",October Running Elevation Challenge,true
"Sep 25, 2024, 7:38:47 PM",October Ten Days Active Challenge,true
"Sep 25, 2024, 7:38:49 PM",Revenge of the Tipping Point,true
"Sep 25, 2024, 7:38:56 PM",October Streak Challenge,true
"Sep 25, 2024, 7:38:55 PM",October 400-Minute Challenge,true
"Sep 29, 2024, 4:23:33 PM",October 5K x Brooks Challenge,true
"Nov 2, 2024, 2:29:46 PM",November 5K x Brooks Challenge,true
"Nov 2, 2024, 2:29:50 PM",Hit Your Goals with HubSpot,true
"Nov 2, 2024, 2:29:56 PM",Cash App Health Is Wealth Challenge,true
"Nov 2, 2024, 2:30:01 PM",The Marathon Challenge by Vita Coco,false
"Nov 2, 2024, 2:30:26 PM",November Half Marathon Challenge,true
"Nov 2, 2024, 2:30:27 PM",November 10K Challenge,true
"Nov 2, 2024, 2:30:29 PM",November Running Elevation Challenge,false
"Nov 9, 2024, 5:49:38 PM",Brooks Hyperion House Manhattan Bridge,false
"Nov 9, 2024, 5:49:38 PM",Le Col Next Phase Challenge,true
"Dec 25, 2024, 2:47:37 AM",Rapha Festive 500,true
"May 3, 2025, 4:11:51 PM",May 10K Challenge,true
"Jul 22, 2025, 2:09:22 PM",Michelob ULTRA Zero Excuses Challenge,true
"Dec 24, 2025, 9:24:35 PM",December 5K Challenge,true
"Dec 24, 2025, 9:24:38 PM",Rapha Festive 500,false
